Method,K,Statistic,Normalization,Exclude,Preselect,Fitness_method,Fitness_score,Sick_F1,Time,Features
basic,3,chi2,,,,,0.401,0.173900425482,2.75,"[5694, 22356, 17864]"
basic,4,chi2,,,,,0.413,0.200819035241,2.5,"[5694, 22356, 17864, 11357]"
basic,5,chi2,,,,,0.418,0.214837435537,2.53,"[5694, 22356, 17864, 11357, 2991]"
basic,6,chi2,,,,,0.418,0.224251062774,2.51,"[5694, 22356, 17864, 11357, 2991, 8230]"
basic,7,chi2,,,,,0.425,0.233845138868,2.53,"[5694, 22356, 17864, 11357, 2991, 8230, 17302]"
basic,8,chi2,,,,,0.426,0.229960101885,2.65,"[5694, 22356, 17864, 11357, 2991, 8230, 17302, 2026]"
basic,9,chi2,,,,,0.428,0.258414955835,2.57,"[5694, 22356, 17864, 11357, 2991, 8230, 17302, 2026, 854]"
basic,10,chi2,,,,,0.434,0.264823812989,2.59,"[5694, 22356, 17864, 11357, 2991, 8230, 17302, 2026, 854, 6499]"
basic,11,chi2,,,,,0.434,0.281470429187,2.57,"[5694, 22356, 17864, 11357, 2991, 8230, 17302, 2026, 854, 6499, 10002]"
basic,12,chi2,,,,,0.44,0.277421757798,2.62,"[5694, 22356, 17864, 11357, 2991, 8230, 17302, 2026, 854, 6499, 10002, 24334]"
basic,13,chi2,,,,,0.453,0.321291486705,2.61,"[5694, 22356, 17864, 11357, 2991, 8230, 17302, 2026, 854, 6499, 10002, 24334, 7396]"
basic,14,chi2,,,,,0.453,0.325612708091,2.64,"[5694, 22356, 17864, 11357, 2991, 8230, 17302, 2026, 854, 6499, 10002, 24334, 7396, 27963]"
subt,3,f_classif,substract,,,,0.464,0.386282645482,5.64,"[27209, 5661, 19429]"
excl,3,f_classif,exclude,5000,,,0.445,0.344918388726,5.13,"[5661, 19429, 2157]"
subt,4,f_classif,substract,,,,0.48,0.430090413532,4.98,"[27209, 5661, 19429, 6018]"
excl,4,f_classif,exclude,5000,,,0.487,0.460941422678,4.74,"[5661, 19429, 2157, 6018]"
subt,5,f_classif,substract,,,,0.493,0.467931985441,5.25,"[27209, 5661, 19429, 6018, 2157]"
excl,5,f_classif,exclude,5000,,,0.49,0.47296229561,4.9,"[5661, 19429, 2157, 6018, 26802]"
subt,6,f_classif,substract,,,,0.51,0.499789410001,5.05,"[27209, 5661, 19429, 6018, 2157, 16055]"
excl,6,f_classif,exclude,5000,,,0.515,0.505608211419,4.88,"[5661, 19429, 2157, 6018, 26802, 16055]"
subt,7,f_classif,substract,,,,0.518,0.529398238099,4.82,"[27209, 5661, 19429, 6018, 2157, 16055, 8704]"
excl,7,f_classif,exclude,5000,,,0.533,0.564071577301,4.87,"[5661, 19429, 2157, 6018, 26802, 16055, 11794]"
subt,8,f_classif,substract,,,,0.515,0.524795143562,4.9,"[27209, 5661, 19429, 6018, 2157, 16055, 8704, 26802]"
excl,8,f_classif,exclude,5000,,,0.564,0.676972363388,4.8,"[5661, 19429, 2157, 6018, 26802, 16055, 11794, 27492]"
subt,9,f_classif,substract,,,,0.539,0.579210575467,5.12,"[27209, 5661, 19429, 6018, 2157, 16055, 8704, 26802, 11794]"
excl,9,f_classif,exclude,5000,,,0.566,0.668181905295,5.0,"[5661, 19429, 2157, 6018, 26802, 16055, 11794, 27492, 28505]"
subt,10,f_classif,substract,,,,0.544,0.590757146636,4.86,"[27209, 5661, 19429, 6018, 2157, 16055, 8704, 26802, 11794, 28505]"
excl,10,f_classif,exclude,5000,,,0.57,0.664921420843,4.98,"[5661, 19429, 2157, 6018, 26802, 16055, 11794, 27492, 28505, 3183]"
subt,11,f_classif,substract,,,,0.571,0.683318997439,5.02,"[27209, 5661, 19429, 6018, 2157, 16055, 8704, 26802, 11794, 28505, 27492]"
excl,11,f_classif,exclude,5000,,,0.578,0.681744007937,4.81,"[5661, 19429, 2157, 6018, 26802, 16055, 11794, 27492, 28505, 3183, 12395]"
subt,12,f_classif,substract,,,,0.573,0.691892873486,4.74,"[27209, 5661, 19429, 6018, 2157, 16055, 8704, 26802, 11794, 28505, 27492, 3183]"
excl,12,f_classif,exclude,5000,,,0.574,0.674660741356,5.03,"[5661, 19429, 2157, 6018, 26802, 16055, 11794, 27492, 28505, 3183, 12395, 16356]"
subt,13,f_classif,substract,,,,0.573,0.689507409784,5.06,"[27209, 5661, 19429, 6018, 2157, 16055, 8704, 26802, 11794, 28505, 27492, 3183, 21071]"
excl,13,f_classif,exclude,5000,,,0.581,0.694832391138,5.03,"[5661, 19429, 2157, 6018, 26802, 16055, 11794, 27492, 28505, 3183, 12395, 16356, 24328]"
subt,14,f_classif,substract,,,,0.575,0.685475784089,5.01,"[27209, 5661, 19429, 6018, 2157, 16055, 8704, 26802, 11794, 28505, 27492, 3183, 21071, 16356]"
excl,14,f_classif,exclude,5000,,,0.588,0.704876023876,5.07,"[5661, 19429, 2157, 6018, 26802, 16055, 11794, 27492, 28505, 3183, 12395, 16356, 24328, 6025]"
sfs,3,chi2,exclude,5000,100,combined,0.655,0.416127037452,126.51,"[2157, 25965, 8673]"
sfs,4,chi2,exclude,5000,100,combined,0.676,0.474898423283,186.8,"[2157, 9506, 1891, 17950]"
sfs,5,chi2,exclude,5000,100,combined,0.678,0.534732440195,246.81,"[2157, 9506, 1891, 17950, 23438]"
sfs,6,chi2,exclude,5000,100,combined,0.699,0.662156692309,308.26,"[2157, 25965, 8673, 10459, 17922, 2028]"
sfs,7,chi2,exclude,5000,100,combined,0.685,0.60640012394,368.49,"[2157, 9506, 1891, 17950, 16250, 8673, 23438]"
sfs,8,chi2,exclude,5000,100,combined,0.689,0.618952415172,429.64,"[2157, 9506, 1891, 18670, 17950, 23438, 18670, 11630]"
sfs,9,chi2,exclude,5000,100,combined,0.697,0.645473055027,489.03,"[2157, 9506, 1891, 17950, 16250, 23438, 17087, 22243, 16370]"
sfs,10,chi2,exclude,5000,100,combined,0.686,0.703577299579,548.32,"[2157, 25965, 8673, 10459, 17950, 8673, 19429, 17922, 23438, 29122]"
sfs,11,chi2,exclude,5000,100,combined,0.708,0.682231326448,615.09,"[2157, 25965, 8673, 26802, 16250, 8673, 4750, 16370, 17087, 3221, 9506]"
sfs,12,chi2,exclude,5000,100,combined,0.708,0.75270851785,676.07,"[2157, 25965, 8673, 10459, 17950, 19429, 18670, 23438, 28970, 1891, 2175, 19264]"
sfs,13,chi2,exclude,5000,100,combined,0.703,0.743548619517,731.07,"[2157, 25965, 8673, 10459, 1571, 17950, 19429, 17922, 23438, 18624, 18670, 9115, 5269]"
sfs,14,chi2,exclude,5000,100,combined,0.725,0.777369593628,791.6,"[2157, 9506, 1891, 17950, 23438, 20258, 17087, 2028, 3183, 26555, 3749, 9115, 8966, 25653]"
ea,3,chi2,exclude,5000,100,combined,0.712,0.572845399197,761.04,"[24890, 17097, 19388]"
ea,4,chi2,exclude,5000,100,combined,0.719,0.552705960015,776.99,"[24890, 17097, 3183, 3749]"
ea,5,chi2,exclude,5000,100,combined,0.728,0.69053769617,801.01,"[13130, 16610, 8966, 3935, 5198]"
ea,6,chi2,exclude,5000,100,combined,0.726,0.666678697257,814.66,"[4750, 11422, 13130, 20180, 1571, 8699]"
ea,7,chi2,exclude,5000,100,combined,0.738,0.74739533252,827.32,"[29648, 24890, 5570, 3749, 3935, 19264, 8699]"
ea,8,chi2,exclude,5000,100,combined,0.732,0.754923217162,834.04,"[23438, 11422, 16055, 162, 24328, 19362, 10341, 16368]"
ea,9,chi2,exclude,5000,100,combined,0.732,0.782260718228,842.7,"[23438, 10459, 6496, 16055, 13130, 568, 3935, 5198, 6225]"
ea,10,chi2,exclude,5000,100,combined,0.741,0.751479977546,826.04,"[17725, 9506, 13130, 24328, 16370, 20180, 22571, 11630, 16368, 26494]"
ea,11,chi2,exclude,5000,100,combined,0.734,0.756803532927,897.14,"[16015, 16055, 8966, 25965, 5570, 21710, 16370, 3749, 8673, 17087, 19388]"
ea,12,chi2,exclude,5000,100,combined,0.727,0.788166740322,955.7,"[7189, 19041, 28505, 17725, 9506, 20091, 23516, 21710, 3749, 20180, 1571, 11630]"
ea,13,chi2,exclude,5000,100,combined,0.737,0.784680098738,1003.03,"[7189, 29648, 18624, 3221, 5659, 27721, 25965, 3935, 20180, 19388, 10341, 16368, 26494]"
ea,14,chi2,exclude,5000,100,combined,0.724,0.776572241964,1016.3,"[14006, 25056, 12395, 17922, 17725, 21710, 1891, 19362, 17950, 20258, 16250, 8673, 24093, 11794]"
tree,3,,,,,,0.628,0.431383169139,373.53,"[21403, 12295, 2157]"
tree,4,,,,,,0.658,0.539410289347,370.03,"[21403, 12295, 2157, 16055]"
tree,5,,,,,,0.668,0.601975343752,370.48,"[21403, 12295, 2157, 16055, 9809]"
tree,6,,,,,,0.652,0.613677376879,368.66,"[21403, 12295, 2157, 16055, 9809, 7719]"
tree,7,,,,,,0.642,0.634035567904,369.24,"[21403, 12295, 2157, 16055, 9809, 7719, 19134]"
tree,8,,,,,,0.652,0.67532818499,372.88,"[21403, 12295, 2157, 16055, 9809, 7719, 27331, 456]"
tree,9,,,,,,0.655,0.739211156309,367.57,"[21403, 12295, 2157, 16055, 9809, 7719, 595, 456, 13588]"
tree,10,,,,,,0.657,0.733630140819,368.64,"[21403, 12295, 2157, 16055, 9809, 7719, 595, 456, 13588, 13963]"
tree,11,,,,,,0.671,0.815904590948,366.58,"[21403, 12295, 2157, 16055, 9809, 7719, 27331, 456, 13588, 13963, 14400]"
tree,12,,,,,,0.666,0.827990645353,364.55,"[21403, 12295, 2157, 16055, 9809, 7719, 11518, 456, 13588, 13963, 14400, 20906]"
tree,13,,,,,,0.673,0.867414616931,373.35,"[21403, 12295, 2157, 16055, 9809, 7719, 27331, 456, 13588, 13963, 14400, 20906, 23646]"
tree,14,,,,,,0.679,0.877508822931,365.72,"[21403, 12295, 2157, 16055, 9809, 7719, 19134, 456, 13588, 13963, 14400, 20906, 23646, 15471]"
